X,Y,Intensity
467.0,713.0,119
467.0,713.0,119
468.0,714.0,120
468.0,714.0,120
461.0,707.0,117
461.0,707.0,117
469.0,726.0,123
469.0,726.0,123
471.0,721.0,85
472.0,723.0,89
471.0,723.0,64
462.0,698.0,109
462.0,698.0,106
472.0,722.0,85
471.0,722.0,61
470.0,722.0,44
464.0,699.0,65
463.0,704.0,112
462.0,710.0,110
453.0,681.0,117
462.0,710.0,110
470.0,728.0,120
464.0,709.0,122
462.0,709.0,108
473.0,728.0,79
462.0,709.0,116
473.0,728.0,77
473.0,728.0,77
464.0,706.0,102
473.0,728.0,89
464.0,705.0,106
464.0,707.0,138
474.0,727.0,103
464.0,705.0,105
464.0,705.0,96
464.0,705.0,96
453.0,676.0,106
464.0,705.0,96
462.0,704.0,132
454.0,674.0,72
464.0,704.0,90
453.0,674.0,74
454.0,673.0,86
464.0,707.0,127
454.0,673.0,85
465.0,707.0,105
471.0,729.0,117
463.0,704.0,123
472.0,729.0,99
474.0,729.0,109
464.0,707.0,139
471.0,729.0,118
462.0,706.0,101
464.0,707.0,131
469.0,725.0,95
457.0,702.0,113
458.0,702.0,116
457.0,702.0,108
458.0,701.0,126
469.0,725.0,81
470.0,725.0,91
469.0,725.0,83
470.0,729.0,99
469.0,722.0,74
461.0,707.0,116
470.0,726.0,79
