X,Y,Intensity
467.0,739.0,122
459.0,713.0,86
454.0,678.0,126
412.0,707.0,122
460.0,687.0,134
463.0,679.0,140
186.0,740.0,12
331.0,794.0,22
201.0,772.0,0
254.0,734.0,0
207.0,714.0,0
166.0,654.0,0
165.0,653.0,2
729.0,684.0,58
728.0,665.0,120
734.0,664.0,97
758.0,649.0,100
776.0,640.0,93
783.0,635.0,58
771.0,636.0,52
770.0,640.0,41
775.0,635.0,30
777.0,633.0,41
779.0,637.0,23
780.0,637.0,21
779.0,638.0,24
779.0,639.0,20
779.0,638.0,19
778.0,637.0,30
779.0,639.0,20
778.0,636.0,32
778.0,636.0,42
778.0,637.0,26
779.0,637.0,24
773.0,627.0,25
773.0,628.0,20
772.0,626.0,16
772.0,629.0,32
773.0,635.0,25
770.0,635.0,23
769.0,634.0,25
769.0,633.0,31
772.0,634.0,22
771.0,634.0,29
770.0,633.0,33
773.0,635.0,26
775.0,638.0,26
770.0,634.0,23
774.0,639.0,28
773.0,639.0,23
773.0,638.0,22
773.0,637.0,29
774.0,639.0,26
773.0,637.0,30
774.0,638.0,21
773.0,637.0,29
770.0,634.0,39
769.0,634.0,34
773.0,640.0,56
771.0,636.0,21
776.0,641.0,37
775.0,639.0,26
773.0,637.0,28
774.0,637.0,38
774.0,636.0,26
770.0,632.0,17
769.0,631.0,24
770.0,632.0,35
769.0,632.0,31
770.0,633.0,29
772.0,637.0,3
772.0,637.0,3
773.0,637.0,17
771.0,635.0,29
772.0,636.0,34
773.0,636.0,49
771.0,635.0,35
770.0,634.0,29
771.0,635.0,34
772.0,635.0,25
769.0,634.0,31
772.0,636.0,28
772.0,637.0,23
770.0,634.0,23
771.0,636.0,24
770.0,637.0,30
769.0,635.0,28
770.0,637.0,32
770.0,637.0,32
770.0,636.0,24
772.0,637.0,33
772.0,638.0,17
771.0,636.0,19
772.0,637.0,19
772.0,637.0,19
771.0,635.0,31
771.0,636.0,30
771.0,637.0,28
771.0,636.0,30
771.0,637.0,26
772.0,637.0,21
770.0,635.0,26
771.0,637.0,26
773.0,638.0,32
773.0,638.0,32
776.0,640.0,28
776.0,641.0,17
777.0,641.0,32
775.0,640.0,28
770.0,636.0,35
771.0,636.0,26
772.0,637.0,22
770.0,634.0,28
772.0,636.0,25
771.0,636.0,28
770.0,635.0,22
772.0,636.0,37
773.0,638.0,31
771.0,635.0,24
772.0,637.0,21
773.0,639.0,32
772.0,636.0,27
773.0,639.0,35
