X,Y,Intensity
774.0,642.0,29
774.0,640.0,43
778.0,642.0,43
781.0,645.0,31
775.0,638.0,36
772.0,634.0,25
776.0,637.0,28
772.0,631.0,21
768.0,626.0,18
771.0,631.0,25
776.0,639.0,34
772.0,637.0,22
772.0,639.0,28
774.0,641.0,25
772.0,639.0,38
772.0,638.0,44
777.0,642.0,34
771.0,637.0,30
768.0,635.0,33
771.0,637.0,32
769.0,635.0,30
769.0,634.0,25
771.0,636.0,45
773.0,640.0,38
771.0,636.0,48
777.0,643.0,33
779.0,645.0,31
779.0,645.0,30
781.0,645.0,29
778.0,641.0,34
779.0,640.0,38
777.0,638.0,29
779.0,640.0,38
775.0,638.0,28
774.0,637.0,34
776.0,641.0,23
774.0,639.0,33
780.0,646.0,28
783.0,647.0,22
777.0,641.0,37
779.0,641.0,31
781.0,642.0,28
778.0,640.0,34
778.0,639.0,34
778.0,640.0,37
777.0,639.0,35
768.0,632.0,34
774.0,637.0,27
764.0,629.0,44
762.0,629.0,30
763.0,629.0,38
768.0,635.0,32
767.0,634.0,32
772.0,638.0,26
772.0,639.0,38
770.0,637.0,27
771.0,638.0,36
771.0,638.0,36
769.0,635.0,29
770.0,637.0,34
768.0,637.0,33
767.0,635.0,37
769.0,637.0,31
770.0,637.0,39
768.0,636.0,41
770.0,638.0,40
773.0,641.0,37
769.0,637.0,34
774.0,640.0,27
776.0,642.0,50
774.0,640.0,44
773.0,641.0,43
778.0,643.0,37
778.0,641.0,40
775.0,635.0,39
776.0,637.0,45
775.0,636.0,41
771.0,634.0,41
773.0,636.0,27
775.0,639.0,29
774.0,639.0,28
777.0,641.0,35
772.0,639.0,26
774.0,639.0,28
780.0,643.0,33
775.0,640.0,37
770.0,632.0,33
775.0,636.0,26
770.0,634.0,40
772.0,637.0,22
775.0,639.0,29
775.0,642.0,19
774.0,639.0,16
774.0,640.0,25
774.0,640.0,26
773.0,639.0,26
772.0,637.0,28
774.0,640.0,31
772.0,637.0,29
770.0,635.0,26
768.0,632.0,15
775.0,641.0,33
773.0,638.0,28
779.0,645.0,35
776.0,643.0,38
776.0,641.0,25
774.0,638.0,43
774.0,636.0,28
772.0,634.0,27
769.0,632.0,27
777.0,641.0,24
778.0,643.0,31
775.0,640.0,34
776.0,641.0,21
781.0,644.0,28
779.0,642.0,31
778.0,638.0,28
780.0,639.0,41
778.0,638.0,22
776.0,638.0,27
775.0,638.0,21
772.0,637.0,46
771.0,637.0,41
770.0,637.0,35
774.0,641.0,29
770.0,636.0,30
773.0,640.0,40
771.0,639.0,26
768.0,635.0,37
773.0,639.0,31
773.0,641.0,34
772.0,639.0,23
767.0,632.0,28
774.0,641.0,29
772.0,637.0,31
770.0,634.0,7
771.0,637.0,34
771.0,636.0,26
769.0,634.0,26
772.0,637.0,34
773.0,639.0,37
772.0,637.0,34
773.0,636.0,36
776.0,640.0,33
773.0,638.0,33
771.0,636.0,40
771.0,637.0,29
773.0,640.0,32
772.0,637.0,29
775.0,642.0,31
778.0,645.0,35
777.0,643.0,38
776.0,640.0,26
781.0,644.0,27
772.0,637.0,38
772.0,636.0,37
774.0,639.0,29
777.0,642.0,19
772.0,639.0,29
778.0,643.0,28
779.0,645.0,31
774.0,637.0,24
771.0,633.0,23
775.0,637.0,27
768.0,631.0,32
770.0,634.0,25
771.0,636.0,26
770.0,636.0,30
769.0,634.0,29
770.0,635.0,29
772.0,638.0,36
772.0,636.0,30
775.0,640.0,37
776.0,643.0,30
776.0,641.0,30
780.0,645.0,37
783.0,647.0,28
782.0,645.0,34
773.0,634.0,29
776.0,639.0,34
767.0,630.0,23
765.0,626.0,34
767.0,630.0,23
772.0,635.0,33
772.0,636.0,23
774.0,638.0,35
775.0,640.0,30
772.0,638.0,50
770.0,636.0,20
771.0,637.0,34
772.0,639.0,38
770.0,637.0,37
770.0,637.0,37
773.0,641.0,37
773.0,640.0,44
770.0,638.0,34
774.0,641.0,34
779.0,645.0,34
777.0,642.0,31
776.0,640.0,26
781.0,644.0,31
775.0,637.0,26
770.0,632.0,19
772.0,634.0,23
774.0,636.0,32
773.0,638.0,19
771.0,635.0,23
771.0,637.0,26
773.0,639.0,41
772.0,638.0,30
771.0,637.0,33
774.0,641.0,26
773.0,639.0,41
771.0,637.0,38
774.0,640.0,39
778.0,644.0,43
777.0,643.0,31
775.0,639.0,26
781.0,644.0,32
776.0,641.0,17
773.0,637.0,28
775.0,640.0,31
776.0,639.0,23
774.0,640.0,27
774.0,640.0,25
778.0,644.0,50
766.0,633.0,32
768.0,635.0,33
769.0,637.0,40
771.0,639.0,35
770.0,637.0,32
772.0,639.0,34
775.0,642.0,30
773.0,639.0,36
770.0,638.0,39
771.0,641.0,32
771.0,641.0,33
766.0,637.0,34
773.0,643.0,36
774.0,644.0,24
774.0,643.0,34
773.0,640.0,35
781.0,645.0,37
774.0,638.0,25
767.0,631.0,37
770.0,633.0,23
776.0,641.0,29
772.0,638.0,21
774.0,640.0,32
773.0,640.0,33
771.0,639.0,30
776.0,643.0,27
777.0,644.0,31
774.0,642.0,19
772.0,639.0,44
777.0,643.0,30
778.0,642.0,20
768.0,632.0,22
776.0,638.0,21
779.0,640.0,32
776.0,637.0,24
770.0,633.0,28
