X,Y,Intensity
685.0,686.0,0
678.0,676.0,0
674.0,682.0,0
683.0,689.0,0
687.0,688.0,0
672.0,679.0,0
677.0,687.0,0
701.0,691.0,16
670.0,684.0,0
662.0,678.0,0
667.0,685.0,0
684.0,686.0,0
669.0,678.0,0
669.0,679.0,0
682.0,685.0,0
689.0,683.0,0
679.0,676.0,0
679.0,684.0,0
679.0,689.0,0
671.0,690.0,0
667.0,687.0,0
669.0,691.0,0
669.0,689.0,0
666.0,684.0,0
664.0,679.0,0
669.0,686.0,0
670.0,688.0,0
662.0,680.0,0
670.0,689.0,0
672.0,692.0,0
670.0,687.0,0
664.0,677.0,0
672.0,686.0,0
673.0,678.0,0
671.0,672.0,0
682.0,678.0,0
691.0,681.0,0
690.0,673.0,0
690.0,675.0,0
704.0,684.0,20
713.0,688.0,116
686.0,676.0,0
674.0,678.0,0
709.0,686.0,37
700.0,686.0,0
681.0,678.0,0
681.0,679.0,0
684.0,686.0,0
682.0,687.0,0
671.0,678.0,0
661.0,675.0,0
674.0,686.0,0
674.0,687.0,0
662.0,675.0,0
660.0,672.0,0
676.0,685.0,0
678.0,685.0,0
664.0,677.0,0
681.0,687.0,0
680.0,691.0,0
677.0,687.0,0
661.0,672.0,0
669.0,689.0,0
675.0,684.0,0
664.0,677.0,0
666.0,676.0,0
